股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
000973.SZ,佛塑科技,6.9,20241118,34783181.04,25076819.04,9706362.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.7209466842944046,1/101,拟购买金力股份100%股份+AI眼镜+广东国资,10.04784689,5940,6675219900.000,6.9,6.9,6.9,6.9,0.000,1894352,000973
002227.SZ,奥特迅,11.24,20241118,68599168.36,47435971.85,21163196.51,日振幅值达15%的证券,单日榜,0.6914948531308989,2/101,充电桩+液冷超充+虚拟电厂+储能,9.980430528,4021,2783459400.000,10,11.24,9.62,11.24,15.851,19946427,002227
002976.SZ,瑞玛精密,27.15,20241118,56293026.8,35431501.8,20861525.0,日振幅值达15%的证券,单日榜,0.6294119150118253,3/101,智能座舱+华为汽车+特斯拉概念+车联网,10.008103728,1141,1767801000.000,24.77,27.15,23.2,27.15,16.005,13986329,002976
002344.SZ,海宁皮城,4.76,20241118,24658767.0,13723756.04,10935010.96,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5565467259575468,5/101,控股股东拟发生变更+皮革+破净股,9.930715935,3596,6099702400.000,4.76,4.76,4.76,4.76,0.000,4749343,002344
601789.SH,宁波建工,5.39,20241118,199510110.89,107869663.49,91640447.4,日振幅值达15%的证券;日换手率达20%的证券,单日榜,0.5406726657050178,7/101,宁波国资+工程施工+参股中经云,10,3219,5857844400.000,4.75,5.39,4.51,5.39,17.959,284733165,601789
603004.SH,鼎龙科技,21.05,20241118,64278579.4,33050750.62,31227828.78,日换手率达20%的证券,单日榜,0.5141798547588935,8/101,次新股+染发剂原料+外销,9.979101358,214,1239424000.000,19.13,21.05,18.55,21.05,13.062,14111817,603004
001255.SZ,博菲电气,34.98,20241118,60153984.56,30610125.76,29543858.8,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5088628123955485,9/101,电气绝缘材料+新能源汽车+有机硅+光伏,10,514,699600000.000,32.07,34.98,32.07,34.98,9.151,4431695,001255
600170.SH,上海建工,2.83,20241118,235449592.3,102983668.72,132465923.58,日涨幅偏离值达7%的证券,单日榜,0.4373915780188845,12/101,破净股+上海国资+建筑装饰,10.116731518,6402,25147209000.000,2.62,2.83,2.62,2.83,8.171,632627716,600170
000605.SZ,渤海股份,9.24,20241118,136349909.64,58866073.52,77483836.12,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.43172799802671,13/101,天津水务集团资产注入猜想+污水处理+天津国资,10,6830,3073581700.000,9,9.24,8.68,9.24,6.667,58419038,000605
600676.SH,交运股份,5.51,20241118,52406607.0,19555223.5,32851383.5,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3731442392368581,16/101,低市净率+上海国资+参股上海大众交运出租+物流+汽车零部件,9.98003992,7573,5666996100.000,5.51,5.51,5.51,5.51,0.000,14579420,600676
600157.SH,永泰能源,1.71,20241118,318333755.74,104730387.09,213603368.65,日涨幅偏离值达7%的证券,单日榜,0.32899554383274027,21/101,低价破净股+拟收购天悦煤业股份+煤炭+电力,10.322580645,6431,37992377000.000,1.59,1.71,1.58,1.71,8.387,2160436026,600157
001696.SZ,宗申动力,25.98,20241118,381265300.74,125072583.34,256192717.4,日涨幅偏离值达7%的证券,单日榜,0.328046069488217,22/101,低空经济+商业航天+航空发动机,9.991532599,6720,23157006000.000,23.36,25.98,22.7,25.98,13.887,151528360,001696
601789.SH,宁波建工,5.39,20241118,305538882.89,78854877.37,226684005.52,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.25808459016454977,24/101,宁波国资+工程施工+参股中经云,10,3219,5857844400.000,4.75,5.39,4.51,5.39,17.959,284733165,601789
002387.SZ,维信诺,14.61,20241118,437501861.35,91096901.73,346404959.62,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.20822060379103802,25/101,华为+面板+小米+资产重组,10.015060241,3547,20281610000.000,14.12,14.61,14,14.61,4.593,106560063,002387
605028.SH,世茂能源,20.56,20241118,70238248.53,12040278.85,58197969.68,日振幅值达15%的证券,单日榜,0.17142054510168178,27/101,热电联产+光伏+固废处理+高股息,10.005350455,813,3289600000.000,16.85,20.56,16.85,20.56,19.850,19602639,605028
601698.SH,中国卫通,21.55,20241118,816199531.77,139536586.9,676662944.87,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,0.17095891564333873,28/101,,-7.708779443,1308,91035506000.000,23.01,23.22,21.2,21.55,8.651,154920760,601698
002717.SZ,岭南股份,3.51,20241118,284043790.4,35003468.26,249040322.14,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.1232326473699951,31/101,腾讯+华为+岭南转债完成部分收购+园林工程+国企,10.031347962,2616,5618657400.000,3.32,3.51,3.21,3.51,9.404,555889650,002717
002194.SZ,武汉凡谷,13.32,20241118,333476420.89,39792568.88,293683852.01,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.11932648423477568,32/101,,5.714285714,4118,6782992200.000,12.5,13.5,11.34,13.32,17.143,139035470,002194
